#Ens    afpi d_st(afpi) 
A30.32  0.06452  0.00021 
A40.20  0.06198  0.00057 
A40.24  0.06577  0.00024                           
A40.32  0.06839  0.00018                           
A60.24  0.07209  0.00020                           
A80.24  0.07581  0.00013                           
A100.24 0.07936  0.00014                           
B25.32t 0.05576  0.00041                        
B25.32 0.05576  0.00041                        
B35.32  0.06105  0.00017                          
B55.32  0.06545  0.00011                          
B85.24  0.07039  0.00026                         
D30.48  0.04735  0.00015 
D45.32  0.04825  0.00014












                        
